age,gender
30,Genderqueer/genderfluid
49,"Male, completely"
22,Mostly male
32,Genderqueer/genderfluid
25,"Male, completely"
30,"Female, completely"
26,Genderqueer/genderfluid
29,"Female, completely"
30,Mostly male
24,Genderqueer/genderfluid
26,Mostly male
31,Genderqueer/genderfluid
22,"Male, completely"
41,"Male, completely"
30,Mostly male
26,"Male, completely"
28,Mostly female
26,"Male, completely"
28,Mostly male
28,"Male, completely"
25,"Male, completely"
33,"Male, completely"
22,Mostly male
32,"Male, completely"
30,"Female, completely"
23,"Male, completely"
20,Mostly male
34,"Male, completely"
20,"Male, completely"
25,"Male, completely"
27,Neutrois/agender
19,"Male, completely"
19,"Male, completely"
35,"Male, completely"
24,"Male, completely"
46,"Male, completely"
23,"Male, completely"
25,Genderqueer/genderfluid
28,Genderqueer/genderfluid
24,"Female, completely"
30,Mostly male
24,Mostly male
29,Mostly male
36,"Male, completely"
34,"Male, completely"
34,"Male, completely"
42,"Male, completely"
31,"Male, completely"
24,"Male, completely"
18,Equal parts male and female
27,"Male, completely"
51,"Male, completely"
26,"Male, completely"
21,"Male, completely"
17,Mostly male
31,"Male, completely"
23,"Male, completely"
18,"Male, completely"
24,"Male, completely"
22,"Male, completely"
31,"Male, completely"
23,Genderqueer/genderfluid
22,"Male, completely"
22,Mostly male
24,"Male, completely"
24,"Male, completely"
18,"Male, completely"
55,"Male, completely"
23,Non-binary (not otherwise specified)
30,Mostly male
26,"Male, completely"
20,"Male, completely"
27,"Male, completely"
25,"Male, completely"
48,"Male, completely"
22,"Male, completely"
37,"Male, completely"
22,"Male, completely"
29,Genderqueer/genderfluid
21,Non-binary (not otherwise specified)
26,Neutrois/agender
24,"Male, completely"
34,"Male, completely"
20,"Male, completely"
32,"Male, completely"
19,"Male, completely"
31,"Male, completely"
36,"Male, completely"
33,Mostly female
25,"Female, completely"
33,"Male, completely"
40,"Male, completely"
33,"Male, completely"
32,Mostly male
34,"Male, completely"
21,"Male, completely"
30,"Male, completely"
18,"Male, completely"
29,"Male, completely"
26,"Female, completely"
34,"Male, completely"
26,"Male, completely"
28,Mostly male
35,"Male, completely"
23,"Male, completely"
28,"Male, completely"
21,"Male, completely"
27,"Male, completely"
39,"Male, completely"
27,"Male, completely"
21,"Male, completely"
27,Mostly male
25,"Male, completely"
66,"Male, completely"
31,"Male, completely"
27,"Male, completely"
31,"Male, completely"
24,Genderqueer/genderfluid
21,"Male, completely"
33,"Male, completely"
20,"Male, completely"
27,"Male, completely"
21,"Male, completely"
23,"Male, completely"
20,Neutrois/agender
22,"Male, completely"
23,"Male, completely"
17,"Male, completely"
52,"Male, completely"
21,"Male, completely"
26,"Male, completely"
26,"Male, completely"
30,Mostly male
23,"Male, completely"
31,"Male, completely"
34,Mostly male
28,"Male, completely"
27,"Female, completely"
36,"Male, completely"
18,"Female, completely"
22,"Male, completely"
18,"Male, completely"
23,"Male, completely"
26,"Female, completely"
30,"Male, completely"
24,Neutrois/agender
23,Neutrois/agender
23,"Male, completely"
21,"Male, completely"
25,"Male, completely"
29,"Male, completely"
22,"Male, completely"
34,"Male, completely"
22,"Male, completely"
19,"Male, completely"
25,"Male, completely"
