age,orientation
16,Completely heterosexual
30,Asexual
42,Completely homosexual
32,Pansexual
24,Mostly homosexual
32,Completely homosexual
30,Other
27,Completely heterosexual
42,Pansexual
35,Pansexual
29,Mostly homosexual
24,"Bisexual, leaning homosexual"
20,Mostly homosexual
17,Mostly homosexual
31,Mostly heterosexual
18,Bisexual
18,Asexual
13,Bisexual
36,Bisexual
21,Bisexual
21,Completely heterosexual
21,Completely heterosexual
25,Completely homosexual
41,Asexual
23,"Bisexual, leaning heterosexual"
24,Asexual
26,Mostly homosexual
29,Mostly heterosexual
22,Bisexual
20,Asexual
23,Bisexual
17,"Bisexual, leaning homosexual"
34,Mostly homosexual
32,Completely homosexual
26,Pansexual
27,Mostly heterosexual
22,Completely homosexual
35,"Bisexual, leaning heterosexual"
21,Completely homosexual
20,Bisexual
27,"Bisexual, leaning homosexual"
28,Asexual
46,Completely homosexual
26,Mostly homosexual
30,"Bisexual, leaning heterosexual"
0,Asexual
24,Completely homosexual
26,Mostly homosexual
35,Mostly homosexual
23,Bisexual
29,"Bisexual, leaning heterosexual"
25,Mostly homosexual
24,Completely homosexual
18,Mostly heterosexual
24,Mostly homosexual
23,Bisexual
25,Mostly homosexual
46,Bisexual
32,Mostly heterosexual
26,Mostly heterosexual
25,Pansexual
47,Mostly heterosexual
25,"Bisexual, leaning heterosexual"
30,Bisexual
25,Pansexual
33,"Bisexual, leaning homosexual"
22,Asexual
25,Mostly homosexual
30,Mostly heterosexual
27,Bisexual
39,Mostly homosexual
25,Completely homosexual
20,Mostly heterosexual
16,Completely homosexual
30,"Bisexual, leaning homosexual"
30,Mostly heterosexual
23,Pansexual
30,"Bisexual, leaning heterosexual"
33,Mostly homosexual
19,Completely homosexual
21,Mostly homosexual
27,Mostly homosexual
15,Bisexual
21,Asexual
23,Asexual
30,Pansexual
26,Completely heterosexual
32,Bisexual
29,Completely homosexual
34,Completely homosexual
26,Mostly heterosexual
17,Mostly homosexual
16,Mostly homosexual
29,Bisexual
15,Completely heterosexual
24,Completely heterosexual
34,Completely homosexual
31,"Bisexual, leaning homosexual"
18,Mostly heterosexual
19,Mostly homosexual
29,Mostly heterosexual
33,Completely heterosexual
25,Asexual
20,Mostly heterosexual
16,"Bisexual, leaning homosexual"
54,Mostly heterosexual
