age,species
30,animal_arcticfox
49,animal_wolf
49,animal_other
22,animal_wolf
22,animal_leopard
22,animal_seaotter
22,animal_horse
32,animal_domesticcat
25,animal_raccoon
25,animal_otherbird
25,animal_kangaroo
30,animal_snowleopard
26,animal_wolf
26,animal_arcticfox
26,animal_domesticcat
29,animal_otherbird
30,animal_wolf
24,animal_riverotter
24,animal_weasel
26,animal_weasel
31,animal_otherfeline
22,animal_wolf
22,animal_husky
41,animal_horse
30,animal_dragon
30,animal_lizard
30,animal_other
26,animal_otherfeline
28,animal_otherdog
28,animal_other
26,animal_domesticcat
28,animal_horse
28,animal_othermustelid
25,animal_germanshepherd
33,animal_other
22,animal_husky
32,animal_snowleopard
30,animal_domesticcat
23,animal_raccoon
34,animal_otherungulate
20,animal_otherfox
25,animal_coyote
25,animal_riverotter
25,animal_other
27,animal_wolf
19,animal_redfox
19,animal_otherfeline
19,animal_raccoon
35,animal_cougar
35,animal_rabbit
24,animal_weasel
24,animal_other
24,animal_othermarsupial
46,animal_lion
23,animal_wolf
25,animal_coyote
28,animal_husky
30,animal_other
24,animal_wolf
29,animal_other
36,animal_dragon
34,animal_lion
34,animal_snowleopard
34,animal_raptor
34,animal_tiger
42,animal_squirrel
31,animal_husky
24,animal_wolf
24,animal_other
18,animal_dragon
27,animal_jackal
51,animal_collie
26,animal_redfox
26,animal_othercanine
26,animal_other
21,animal_otherdog
17,animal_domesticcat
31,animal_lizard
23,animal_raven
18,animal_redfox
22,animal_otherreptile
31,animal_horse
23,animal_other
22,animal_wolf
22,animal_redfox
24,animal_wolf
24,animal_other
18,animal_snowleopard
55,animal_otherdog
23,animal_otherdog
30,animal_domesticcat
26,animal_rabbit
20,animal_wolf
27,animal_horse
25,animal_wolf
48,animal_redfox
22,animal_otherdog
37,animal_redpanda
22,animal_redfox
29,animal_kitsune
29,animal_squirrel
21,animal_otherfox
26,animal_other
24,animal_redfox
34,animal_raccoon
20,animal_snowleopard
32,animal_riverotter
32,animal_mouse
19,animal_wolf
31,animal_tiger
36,animal_other
33,animal_wolf
25,animal_domesticcat
25,animal_rat
33,animal_wolf
40,animal_otherdog
33,animal_othermustelid
32,animal_redfox
32,animal_kitsune
32,animal_coyote
34,animal_other
21,animal_tiger
30,animal_rabbit
18,animal_wolf
