furry_status,age,gender,gender_alignment,orientation,country,religion,occupation,education,howfurry,howoften_write,howoften_draw,opinion_artwork,opinion_writing,opinion_online_communities,opinion_conventions,opinion_fursuiting,importance_artwork,importance_writing,importance_online_communities,importance_conventions,importance_fursuiting
furry_lifestyler,19,"Male, completely",cisgender,"Bisexual, leaning homosexual",vn,Atheist,student,ongoing_highschool,9,Daily,Daily,10,10,,10,10,10,10,10,10,10
furry,20,Non-binary (not otherwise specified),transgender,Asexual,my,,student,ongoing_highschool,9,Daily,Daily,10,10,,10,9,10,10,10,10,10
furry,32,"Male, completely",cisgender,Completely homosexual,sg,"Christian, Catholic",professional,graduate_university,10,Less than once a year,Never,7,8,,8,8,10,7,9,10,8
furry,20,Mostly male,complicated,Mostly homosexual,sg,Muslim,student,technical_college,10,Never,Weekly,10,,,,,10,5,10,10,10
furry,20,"Female, completely",cisgender,Completely heterosexual,sg,"Christian, Protestant",student,ongoing_university,9,Less than once a year,Weekly,6,6,,7,8,10,7,10,10,10
furry,16,"Male, completely",complicated,Mostly homosexual,sg,Buddhist,student,some_highschool,9,Never,Daily,10,5,,5,8,10,8,9,7,7
,15,"Female, completely",cisgender,Asexual,sg,Buddhist,student,ongoing_highschool,7,Never,Daily,9,6,,9,9,10,9,9,10,10
furry,22,"Male, completely",cisgender,Mostly homosexual,sg,"Christian, Protestant",Other,technical_college,9,Never,Monthly,10,7,,10,10,10,6,5,8,9
furry,18,Mostly male,cisgender,Bisexual,sg,"Christian, Catholic",student,technical_college,7,Never,Several times a year,9,5,,10,10,9,6,10,10,7
furry,22,"Male, completely",transgender,"Bisexual, leaning homosexual",sg,Atheist,professional,some_university,8,Never,Daily,9,6,,8,10,10,5,5,9,9
furry_adjacent,24,"Male, completely",cisgender,Bisexual,sg,Atheist,government_armed_service,technical_college,7,Less than once a year,Less than once a year,9,9,,9,9,9,9,9,9,9
furry,19,"Male, completely",complicated,Mostly homosexual,th,Agnostic,student,ongoing_university,8,Never,Several times a year,10,7,,10,10,9,6,6,8,9
furry,18,Mostly female,cisgender,"Bisexual, leaning homosexual",sg,,student,technical_college,6,Never,Several times a month,8,4,,7,8,9,4,7,7,10
furry,18,Equal parts male and female,,Bisexual,sg,Buddhist,student,ongoing_highschool,7,Never,Never,9,4,,9,9,8,8,8,8,8
furry,20,"Male, completely",cisgender,Bisexual,my,Muslim,student,ongoing_university,8,Several times a month,Several times a month,10,10,,10,10,9,9,7,10,10
furry,34,"Male, completely",cisgender,Completely homosexual,sg,Agnostic,creative_furry,technical_college,10,Never,Daily,10,6,,10,10,10,10,10,10,10
furry_adjacent,24,Genderqueer/genderfluid,transgender,Pansexual,sg,,student,ongoing_university,4,Never,Monthly,8,7,,5,5,9,9,9,9,8
furry,16,"Male, completely",cisgender,"Bisexual, leaning heterosexual",ph,,student,ongoing_highschool,10,Daily,Daily,10,10,,10,10,10,10,10,10,10
furry,23,"Male, completely",cisgender,Asexual,sg,"Christian, Catholic",student,ongoing_university,6,Several times a month,Never,9,9,,9,9,10,10,10,10,10
furry_adjacent,31,"Male, completely",cisgender,"Bisexual, leaning homosexual",my,Buddhist,service,technical_college,7,Never,Daily,8,5,,7,6,10,7,9,9,9
