furry_status,age,gender,gender_alignment,orientation,country,religion,occupation,education,howfurry,howoften_write,howoften_draw,opinion_artwork,opinion_writing,opinion_online_communities,opinion_conventions,opinion_fursuiting,importance_artwork,importance_writing,importance_online_communities,importance_conventions,importance_fursuiting
furry_related,17,"Male, completely",cisgender,Completely heterosexual,us,,student,some_highschool,5,Less than once a year,Several times a year,7,5,,5,8,5,3,2,3,8
furry,31,Equal parts male and female,transgender,Asexual,us,Agnostic,technical_it,some_university,9,Several times a year,Never,9,9,,9,6,10,7,10,9,9
furry,43,"Male, completely",cisgender,Completely homosexual,us,Agnostic,technical_it,graduate_highschool,8,Never,Never,8,6,,7,10,8,8,8,8,10
furry,33,Genderqueer/genderfluid,complicated,Pansexual,us,Atheist,government_armed_service,advanced_degree,7,Yearly,Never,10,8,,9,5,10,9,10,10,5
furry,25,"Male, completely",cisgender,Mostly homosexual,us,Agnostic,student,ongoing_university,6,Never,Never,10,7,,8,8,8,8,9,10,9
furry,33,"Male, completely",cisgender,Completely homosexual,us,Atheist,technical_it,some_university,8,Never,Less than once a year,10,10,,10,10,10,10,10,10,8
furry,31,Mostly male,cisgender,Other,us,,Other,graduate_postcollege,10,Weekly,Less than once a year,8,10,,7,5,9,9,10,10,7
furry,28,"Female, completely",cisgender,Completely heterosexual,us,Atheist,vet_animal_related,technical_college,8,Never,Daily,10,10,,10,10,10,10,10,9,9
postfurry,43,"Female, completely",transgender,Pansexual,us,,technical_it,graduate_postcollege,9,Weekly,Never,7,9,,5,5,9,3,9,8,7
postfurry,36,Neutrois/agender,transgender,Pansexual,us,Pagan,technical_it,graduate_university,10,Several times a year,Less than once a year,8,8,,9,9,10,6,10,9,9
postfurry,30,"Female, completely",transgender,Mostly homosexual,us,,creative_furry,graduate_highschool,9,Yearly,Never,9,3,,2,2,10,10,10,5,5
postfurry,25,Mostly female,transgender,"Bisexual, leaning homosexual",us,,unemployed,some_university,5,Never,Never,7,,,5,9,9,8,10,6,5
furry,21,"Male, completely",cisgender,Mostly homosexual,us,Atheist,student,advanced_degree,7,Never,Less than once a year,10,10,,10,10,10,7,9,8,7
furry,18,"Male, completely",cisgender,Mostly homosexual,us,,student,ongoing_highschool,8,Daily,Weekly,8,8,,8,5,10,10,10,10,10
