How old are you?,What gender do you identify as?,Does your gender identity align with your sex assigned at birth?,What species is your primary character?,Where in the world are you located?,What religion do you identify with?,"If we cannot observe something, it may as well not exist.","There is/are no God, gods, or deities.","There is no such thing as truth, only opinions.",Morality is a social construct.,"Sometimes, it is better for individuals to have rights taken away, in order to protect others within a society.","When in Rome, do as the Romans do.",People require a national identity to understand themselves.,The only things we can be said to know are things we have experienced.,Science is the surest path to knowledge.,Some races require different treatment than others.,It is impossible for us to know if other beings are self-aware.,"Without a belief in God, any action becomes permissible.","It is better to hold false but comforting beliefs, than to know something disturbing.",The ends can justify the means.,"Everything has a scientific, naturalistic explanation.","There is an objective reality, which exists independently from us.",The most important goal of life is to become happy.,"People posses free will, and are able to make choices as individual agents.","Certain things, such as racism, sexism, and homophobia, are always wrong, regardless of context.",The media positively contributes to liberal democracy.,We posses no knowledge at birth.,Our perceptions accurately represent reality.,Free market economics is the best way to distribute wealth.,Different societies ought to keep to themselves.
30,,transgender,arcticfox,us,,disagree,slightly_agree,strongly_disagree,slightly_agree,agree,disagree,disagree,disagree,strongly_agree,strongly_disagree,neutral,strongly_disagree,slightly_disagree,slightly_agree,agree,agree,slightly_agree,agree,strongly_agree,agree,agree,disagree,neutral,disagree
25,,cisgender,otherfox,us,,strongly_agree,neutral,slightly_disagree,agree,slightly_agree,neutral,disagree,slightly_disagree,agree,neutral,slightly_disagree,strongly_disagree,strongly_disagree,neutral,agree,neutral,agree,slightly_agree,neutral,neutral,slightly_agree,slightly_agree,neutral,strongly_disagree
21,,transgender,raccoon,us,,disagree,dont_know,disagree,slightly_agree,slightly_agree,neutral,disagree,slightly_agree,neutral,strongly_disagree,slightly_agree,disagree,neutral,slightly_agree,slightly_disagree,dont_know,strongly_agree,strongly_agree,strongly_agree,slightly_disagree,neutral,agree,dont_know,strongly_disagree
33,,cisgender,husky,us,Universal Unitarian Christian,slightly_disagree,disagree,disagree,slightly_disagree,neutral,disagree,slightly_agree,slightly_agree,strongly_agree,strongly_disagree,disagree,neutral,strongly_disagree,disagree,dont_know,agree,slightly_agree,strongly_agree,strongly_agree,slightly_agree,slightly_disagree,dont_know,neutral,disagree
19,Agender,transgender,dragon,us,,disagree,neutral,slightly_agree,disagree,slightly_agree,dont_know,strongly_disagree,agree,slightly_disagree,neutral,agree,disagree,neutral,slightly_agree,slightly_disagree,dont_know,slightly_agree,disagree,agree,slightly_disagree,slightly_disagree,slightly_disagree,dont_know,neutral
37,No gender,transgender,polymorphic,us,,agree,neutral,strongly_disagree,slightly_disagree,agree,slightly_agree,strongly_disagree,disagree,agree,strongly_disagree,neutral,strongly_disagree,neutral,agree,dont_know,dont_know,strongly_disagree,agree,strongly_agree,disagree,disagree,strongly_disagree,disagree,disagree
19,,transgender,deer,us,,strongly_disagree,strongly_disagree,disagree,neutral,agree,agree,strongly_disagree,agree,neutral,strongly_disagree,strongly_disagree,strongly_disagree,neutral,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_agree,dont_know,agree,slightly_disagree,dont_know,strongly_disagree
25,,cisgender,weasel,us,,slightly_agree,agree,strongly_disagree,agree,slightly_disagree,agree,neutral,slightly_disagree,slightly_disagree,slightly_disagree,disagree,strongly_disagree,strongly_disagree,neutral,slightly_agree,slightly_agree,slightly_agree,slightly_agree,strongly_agree,disagree,slightly_agree,strongly_disagree,strongly_disagree,disagree
21,,cisgender,redfox,ca,,agree,strongly_agree,disagree,slightly_disagree,disagree,neutral,strongly_disagree,slightly_agree,agree,strongly_disagree,slightly_agree,strongly_disagree,strongly_disagree,slightly_agree,strongly_agree,strongly_agree,slightly_agree,agree,agree,slightly_disagree,slightly_agree,slightly_agree,agree,strongly_disagree
22,,complicated,dragon,us,,slightly_agree,neutral,disagree,disagree,slightly_agree,neutral,disagree,slightly_disagree,slightly_disagree,slightly_disagree,dont_know,strongly_disagree,disagree,slightly_agree,neutral,dont_know,slightly_agree,slightly_disagree,agree,disagree,dont_know,dont_know,strongly_disagree,slightly_disagree
18,,cisgender,otherdog,us,,disagree,strongly_disagree,strongly_disagree,disagree,slightly_agree,disagree,slightly_agree,slightly_disagree,neutral,strongly_disagree,agree,agree,slightly_agree,strongly_disagree,agree,dont_know,strongly_agree,strongly_agree,agree,agree,disagree,disagree,slightly_agree,disagree
18,,transgender,domesticcat,us,,disagree,dont_know,strongly_disagree,strongly_disagree,disagree,neutral,slightly_disagree,slightly_disagree,slightly_agree,strongly_disagree,disagree,strongly_disagree,slightly_agree,neutral,slightly_disagree,dont_know,slightly_agree,agree,agree,slightly_agree,slightly_agree,dont_know,dont_know,disagree
34,,cisgender,polymorphic,us,,slightly_agree,neutral,slightly_disagree,agree,agree,neutral,slightly_disagree,agree,agree,disagree,strongly_agree,slightly_disagree,neutral,neutral,agree,dont_know,dont_know,neutral,agree,agree,slightly_agree,slightly_disagree,slightly_disagree,disagree
23,,cisgender,cheetah,us,,slightly_disagree,agree,disagree,slightly_disagree,slightly_agree,dont_know,neutral,agree,agree,strongly_disagree,slightly_disagree,strongly_disagree,disagree,slightly_agree,strongly_agree,dont_know,slightly_agree,agree,strongly_agree,slightly_disagree,strongly_agree,neutral,disagree,disagree
24,,transgender,redfox,us,,disagree,dont_know,disagree,agree,slightly_disagree,disagree,strongly_disagree,slightly_agree,slightly_agree,strongly_disagree,agree,strongly_disagree,slightly_disagree,neutral,slightly_agree,strongly_agree,slightly_agree,strongly_agree,agree,neutral,agree,disagree,strongly_disagree,strongly_disagree
17,None,transgender,otherdog,us,,agree,slightly_agree,strongly_disagree,strongly_agree,slightly_agree,dont_know,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,disagree,slightly_agree,dont_know,agree,agree,strongly_disagree,slightly_agree,agree,agree,disagree,strongly_disagree,strongly_disagree
32,,cisgender,otherprimate,us,,disagree,agree,disagree,agree,slightly_agree,neutral,strongly_disagree,slightly_disagree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,slightly_disagree,strongly_agree,agree,disagree,agree,disagree,neutral,disagree
26,,transgender,otherfox,us,,strongly_agree,strongly_agree,slightly_agree,slightly_agree,slightly_agree,agree,disagree,slightly_agree,strongly_agree,disagree,neutral,strongly_disagree,slightly_agree,slightly_agree,strongly_agree,slightly_disagree,agree,agree,slightly_agree,strongly_disagree,disagree,disagree,slightly_disagree,strongly_disagree
29,,cisgender,wolf,us,,strongly_disagree,neutral,agree,strongly_agree,disagree,disagree,strongly_disagree,slightly_agree,slightly_agree,agree,slightly_agree,strongly_disagree,strongly_disagree,neutral,agree,slightly_agree,slightly_agree,slightly_disagree,strongly_agree,disagree,strongly_agree,slightly_disagree,strongly_disagree,disagree
24,,cisgender,domesticcat,us,,neutral,slightly_agree,slightly_agree,agree,agree,slightly_agree,slightly_disagree,slightly_agree,agree,neutral,slightly_disagree,disagree,disagree,neutral,agree,dont_know,slightly_disagree,dont_know,slightly_disagree,neutral,strongly_disagree,dont_know,neutral,slightly_disagree
21,,cisgender,dragon,ie,,disagree,disagree,slightly_disagree,slightly_disagree,slightly_disagree,disagree,strongly_disagree,disagree,slightly_agree,disagree,strongly_agree,disagree,slightly_disagree,slightly_disagree,neutral,agree,dont_know,strongly_agree,slightly_agree,dont_know,agree,slightly_agree,dont_know,slightly_disagree
23,,cisgender,coyote,us,,strongly_disagree,neutral,slightly_disagree,slightly_agree,slightly_disagree,slightly_agree,neutral,slightly_disagree,slightly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,slightly_disagree,dont_know,slightly_agree,slightly_disagree,agree,slightly_disagree,disagree,slightly_disagree,disagree,slightly_disagree,strongly_disagree
21,,cisgender,otherfeline,de,,slightly_disagree,agree,strongly_agree,strongly_agree,agree,dont_know,disagree,agree,agree,neutral,slightly_agree,disagree,disagree,disagree,slightly_agree,agree,agree,slightly_agree,agree,neutral,slightly_agree,slightly_disagree,slightly_disagree,slightly_agree
46,,cisgender,riverotter,us,,disagree,strongly_agree,disagree,agree,strongly_agree,agree,strongly_disagree,slightly_disagree,strongly_agree,dont_know,strongly_disagree,strongly_disagree,strongly_disagree,slightly_agree,strongly_agree,agree,agree,neutral,slightly_disagree,slightly_agree,agree,disagree,disagree,strongly_disagree
26,,cisgender,othermustelid,dk,,slightly_disagree,slightly_disagree,disagree,slightly_disagree,slightly_agree,agree,neutral,slightly_disagree,slightly_agree,strongly_disagree,slightly_disagree,slightly_disagree,disagree,slightly_agree,slightly_disagree,neutral,agree,agree,strongly_agree,slightly_agree,neutral,disagree,neutral,disagree
32,,cisgender,wolf,gb,,agree,dont_know,strongly_disagree,strongly_agree,agree,agree,strongly_disagree,strongly_disagree,strongly_agree,disagree,agree,strongly_disagree,dont_know,slightly_agree,dont_know,dont_know,slightly_agree,dont_know,dont_know,disagree,dont_know,dont_know,neutral,dont_know
17,,cisgender,hyaena,pl,,slightly_disagree,slightly_agree,disagree,slightly_agree,agree,agree,disagree,slightly_agree,agree,disagree,agree,disagree,disagree,dont_know,neutral,agree,agree,dont_know,agree,disagree,slightly_agree,slightly_disagree,disagree,dont_know
61,,cisgender,deer,us,,disagree,strongly_agree,disagree,slightly_agree,agree,slightly_agree,neutral,agree,neutral,agree,disagree,disagree,neutral,agree,slightly_disagree,agree,agree,agree,disagree,disagree,agree,disagree,slightly_disagree,slightly_agree
32,,cisgender,dragon,ca,,strongly_disagree,disagree,disagree,strongly_agree,strongly_agree,slightly_agree,agree,slightly_disagree,agree,agree,disagree,strongly_disagree,disagree,strongly_disagree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,agree,neutral,disagree
26,,cisgender,wolf,gb,,disagree,agree,neutral,strongly_agree,agree,neutral,strongly_disagree,disagree,agree,disagree,disagree,strongly_disagree,disagree,slightly_agree,neutral,strongly_agree,slightly_agree,slightly_agree,slightly_agree,disagree,slightly_disagree,strongly_disagree,disagree,disagree
