Age,Gender Identity,Gender Alignment,Main Species
17,male,cisgender,redfox
31,both,transgender,arcticfox
43,male,cisgender,germanshepherd
33,genderqueer,complicated,domesticcat
25,male,cisgender,greyfox
33,male,cisgender,riverotter
31,mostly_male,cisgender,othermustelid
28,female,cisgender,otherdog
21,neutrois,transgender,leopard
43,female,transgender,rabbit
36,neutrois,transgender,coyote
30,female,transgender,panther
26,mostly_female,transgender,domesticcat
21,male,cisgender,wolf
18,male,cisgender,otherungulate
32,female,transgender,rabbit
19,male,cisgender,wolf
19,female,cisgender,
14,male,transgender,domesticcat
38,male,cisgender,othermustelid
22,male,transgender,wolf
22,male,cisgender,wolf
22,male,cisgender,husky
26,male,cisgender,otherfox
24,male,cisgender,otherungulate
19,female,transgender,kitsune
43,male,cisgender,cheetah
24,male,complicated,riverotter
25,male,cisgender,raccoon
27,mostly_male,complicated,deer
30,female,cisgender,redfox
23,mostly_male,cisgender,redfox
21,mostly_male,cisgender,otherdog
24,male,cisgender,wolf
33,male,cisgender,dragon
18,mostly_male,complicated,dragon
36,male,cisgender,collie
33,male,cisgender,other
27,mostly_male,complicated,wolf
28,female,cisgender,domesticcat
23,male,cisgender,redfox
36,male,cisgender,collie
22,male,cisgender,riverotter
21,male,cisgender,dragon
29,male,cisgender,kitsune
47,male,cisgender,pandabear
27,male,cisgender,feral
31,male,cisgender,kitsune
1,female,transgender,mouse
25,male,cisgender,raccoon
27,male,cisgender,otherungulate
36,male,cisgender,rat
24,male,cisgender,
30,male,cisgender,othermarsupial
26,male,cisgender,otherdog
25,male,cisgender,dragon
19,male,cisgender,arcticfox
25,male,cisgender,rabbit
24,male,cisgender,wolf
26,male,cisgender,wolf
47,male,cisgender,collie
33,mostly_male,cisgender,cheetah
28,male,cisgender,redfox
26,genderqueer,transgender,deer
48,male,cisgender,otherungulate
26,male,cisgender,other
31,male,cisgender,kangaroo
26,mostly_female,complicated,anthro
23,male,cisgender,redpanda
26,male,cisgender,otherdog
32,male,cisgender,lion
28,male,cisgender,domesticcat
40,male,cisgender,otherdog
26,male,cisgender,otherdog
21,male,cisgender,redfox
17,male,cisgender,otherfox
31,mostly_male,cisgender,tiger
31,mostly_female,cisgender,otherfox
24,male,cisgender,
31,mostly_female,cisgender,husky
34,male,cisgender,otherdog
20,male,cisgender,mouse
22,mostly_male,cisgender,lizard
28,male,cisgender,otherfox
16,female,cisgender,dragon
22,mostly_male,cisgender,
25,female,cisgender,rabbit
31,female,cisgender,cheetah
27,male,cisgender,tiger
33,female,cisgender,otherfeline
30,mostly_female,transgender,fennec
35,male,cisgender,griffin
27,male,cisgender,arcticfox
24,neutrois,transgender,cheetah
18,female,cisgender,otherdog
17,male,cisgender,polarbear
30,male,cisgender,wolf
17,male,cisgender,wolf
25,female,cisgender,other
35,male,cisgender,bat
32,male,cisgender,othermarsupial
19,male,cisgender,wolf
20,male,cisgender,otherungulate
30,female,cisgender,wolf
34,male,cisgender,domesticcat
26,female,cisgender,domesticcat
21,mostly_female,cisgender,other
30,male,cisgender,greyfox
17,male,cisgender,arcticfox
56,male,cisgender,otherfeline
22,female,cisgender,domesticcat
21,nonbinary_nos,complicated,redpanda
32,mostly_male,transgender,otherbear
26,female,cisgender,wolf
37,male,cisgender,riverotter
17,male,cisgender,raptor
21,male,cisgender,otherreptile
38,female,cisgender,otherreptile
18,male,cisgender,othermusteloid
17,female,cisgender,snowleopard
33,male,cisgender,dragon
18,male,cisgender,skunk
18,male,cisgender,dragon
47,male,cisgender,riverotter
21,male,cisgender,jackal
23,male,cisgender,wolf
22,male,cisgender,coyote
31,male,cisgender,domesticcat
20,female,transgender,domesticcat
28,female,cisgender,domesticcat
23,male,cisgender,
31,male,cisgender,wolf
30,male,cisgender,rabbit
39,male,cisgender,wolf
59,mostly_male,cisgender,
27,male,cisgender,raccoon
27,male,cisgender,
29,male,cisgender,polarbear
28,male,cisgender,horse
22,male,cisgender,otherfeline
24,female,transgender,lion
27,male,cisgender,anthro
33,male,transgender,
32,female,transgender,redfox
27,genderqueer,transgender,tiger
31,male,cisgender,other
34,male,cisgender,dragon
36,female,cisgender,dragon
27,male,cisgender,wolf
22,male,cisgender,wolf
20,male,cisgender,other
18,male,cisgender,wolf
18,male,cisgender,redpanda
22,male,cisgender,otherfeline
26,male,cisgender,raccoon
17,male,cisgender,other
20,male,cisgender,leopard
22,male,cisgender,otherdog
18,female,cisgender,deer
20,male,cisgender,
19,male,cisgender,leopard
17,male,cisgender,deer
56,male,cisgender,rabbit
35,male,cisgender,coyote
19,male,cisgender,other
28,female,cisgender,other
27,male,cisgender,riverotter
24,male,cisgender,raccoon
21,female,cisgender,othermarsupial
28,male,cisgender,
34,male,cisgender,fennec
32,male,cisgender,
27,male,cisgender,wolf
27,male,complicated,kitsune
19,female,cisgender,wolf
23,male,cisgender,other
20,female,cisgender,otherfox
20,mostly_female,complicated,raven
24,male,cisgender,othercanine
41,female,cisgender,snowleopard
1,male,cisgender,raven
24,mostly_male,transgender,wolf
26,mostly_male,complicated,arcticfox
27,male,cisgender,husky
25,male,cisgender,husky
18,male,cisgender,wolf
15,male,cisgender,
20,genderqueer,transgender,otherfeline
18,male,cisgender,wolf
27,male,cisgender,panther
17,nonbinary_nos,complicated,wolf
23,female,cisgender,germanshepherd
23,genderqueer,complicated,wolf
30,male,cisgender,domesticcat
20,male,cisgender,wolf
23,female,cisgender,lion
25,female,cisgender,bat
21,female,cisgender,husky
31,male,cisgender,husky
46,male,cisgender,collie
23,male,cisgender,coyote
24,male,cisgender,otherdog
17,male,cisgender,
24,male,cisgender,otherbird
19,male,complicated,germanshepherd
22,male,cisgender,wolf
25,male,cisgender,
44,male,cisgender,dragon
19,male,cisgender,husky
26,male,cisgender,othercanine
28,male,cisgender,wolf
19,male,cisgender,germanshepherd
25,female,cisgender,wolf
18,male,cisgender,dragon
21,female,cisgender,wolf
25,male,cisgender,wolf
23,male,cisgender,lion
24,mostly_male,cisgender,otherfox
22,male,cisgender,dragon
20,female,cisgender,othercanine
23,female,cisgender,arcticfox
21,male,cisgender,
29,male,cisgender,otherfeline
20,mostly_female,cisgender,otherfox
25,female,cisgender,bat
18,female,cisgender,othercanine
37,female,cisgender,otherfeline
22,male,cisgender,brownbear
25,male,cisgender,riverotter
26,male,transgender,redfox
30,male,cisgender,otherfox
21,male,cisgender,othermustelid
21,female,cisgender,deer
19,mostly_female,cisgender,wolf
19,male,cisgender,otherdog
33,male,cisgender,wolf
46,female,cisgender,otherbear
25,female,cisgender,redfox
35,mostly_male,complicated,domesticcat
18,male,cisgender,tiger
18,genderqueer,complicated,other
16,both,complicated,arcticfox
26,male,cisgender,otherdog
22,male,cisgender,redfox
26,mostly_female,transgender,wolf
17,mostly_male,cisgender,otherfox
21,mostly_male,cisgender,
20,mostly_female,cisgender,otherungulate
33,male,cisgender,
21,male,cisgender,wolf
25,mostly_male,complicated,wolf
28,male,cisgender,kitsune
19,male,cisgender,seaotter
15,neutrois,transgender,greyfox
29,male,cisgender,husky
19,male,cisgender,riverotter
29,male,cisgender,greyfox
21,male,cisgender,
29,female,cisgender,otherfox
20,male,cisgender,husky
24,male,cisgender,raccoon
18,male,cisgender,tiger
18,male,cisgender,
19,male,cisgender,wolf
37,male,cisgender,germanshepherd
35,male,cisgender,badger
21,male,cisgender,wolf
20,female,cisgender,wolf
33,mostly_male,cisgender,tiger
24,male,cisgender,redpanda
24,male,cisgender,otherfox
23,male,cisgender,wolf
22,female,transgender,domesticcat
21,male,cisgender,redfox
17,male,cisgender,husky
21,mostly_male,cisgender,othermusteloid
18,male,cisgender,kitsune
20,male,cisgender,grizzlybear
20,male,cisgender,dragon
1,male,cisgender,wolf
19,female,cisgender,panther
26,male,cisgender,polarbear
31,male,cisgender,domesticcat
20,female,cisgender,wolf
23,neutrois,transgender,dragon
19,mostly_female,cisgender,other
32,mostly_male,cisgender,wolf
34,female,cisgender,
46,male,cisgender,wolf
21,mostly_male,cisgender,tiger
31,female,transgender,
29,male,cisgender,jackal
24,male,cisgender,wolf
34,female,cisgender,wolf
24,male,cisgender,dragon
19,neutrois,transgender,snowleopard
24,male,cisgender,collie
23,male,cisgender,squirrel
28,female,cisgender,otherungulate
29,mostly_male,cisgender,fennec
26,male,cisgender,weasel
19,male,cisgender,redfox
22,male,transgender,grizzlybear
21,female,transgender,other
25,male,cisgender,wolf
22,male,cisgender,otherdog
40,female,cisgender,husky
22,male,cisgender,lion
21,female,cisgender,wolf
25,male,cisgender,
32,male,cisgender,otherbear
22,male,cisgender,otherdog
22,male,cisgender,horse
23,genderqueer,cisgender,dragon
21,mostly_female,cisgender,fennec
20,male,transgender,dragon
