year,option,interested,consume media,create media,participate online,participate in person
2016,foot_worship,653,496,111,268,206
2016,noncon,787,584,119,328,182
2016,humiliation,599,460,99,254,158
2016,bondage,1434,1114,237,540,543
2016,furry,2645,2560,921,1297,806
2016,watersports,659,485,93,281,270
2016,ageplay,525,389,89,247,127
2016,diapers,297,246,66,130,174
2016,fertility_impregnation,624,497,80,256,52
2016,exhibitionism_voyeurism,749,566,112,251,186
2016,domination,1683,1258,261,723,663
2016,gender_role_play,1018,774,161,366,264
2016,vore,551,460,115,238,19
2016,inflation,418,366,81,153,36
2016,plushophilia,370,211,38,55,105
2016,zoophilia,818,675,74,238,126
2016,fursuits,1293,893,130,111,244
2016,transformation,916,759,169,307,41
2016,sadomasochism,516,376,95,216,220
2016,size_play,485,392,108,187,24
n=3551
