Species,Sexual dominance,Romantic dominance,Social dominance
arcticfox,-1,0,0
other,0,0,0
wolf; leopard; seaotter; horse,-1,0,0
domesticcat,-2,-2,1
raccoon; kangaroo,-1,0,0
snowleopard,-1,-1,-1
wolf; domesticcat,-1,-1,-2
otherbird,-2,0,-1
wolf,-1,-1,-1
weasel,1,-1,1
weasel,-2,1,1
otherfeline,-2,0,0
wolf; husky,-2,-1,-1
horse,1,0,0
lizard; other,-1,1,1
otherfeline,-1,-1,1
other,0,1,-1
domesticcat,0,0,1
horse,-2,-1,2
othermustelid,1,1,0
germanshepherd,-1,1,2
other,1,1,-1
snowleopard,-2,-1,-1
domesticcat,-1,0,2
fennec,-1,0,0
otherungulate,0,0,1
otherfox,0,0,-1
coyote; riverotter; other,-1,0,1
wolf,0,0,0
redfox,-2,1,-1
otherfeline; raccoon,-1,0,1
cougar; rabbit,-2,-1,-2
othermarsupial; other,0,1,-2
lion,1,0,1
wolf,0,0,1
coyote,-1,1,2
husky,-2,0,0
other,1,1,2
wolf,-1,0,2
other,1,0,0
lion; snowleopard,1,0,-1
husky,1,0,0
wolf; other,0,0,0
jackal,-1,1,1
collie,0,1,1
othercanine,1,0,1
otherdog,2,-1,-1
domesticcat,-2,-2,-2
lizard,0,0,0
redfox,-1,-1,1
otherreptile,1,1,0
horse,-1,0,1
other,-1,0,0
wolf,0,0,0
redfox,-1,-1,-1
wolf,-1,0,-1
other,1,-1,-1
snowleopard,-2,-2,1
otherdog,-1,-1,2
wolf,0,0,0
horse,0,0,0
wolf,1,0,1
redfox,-1,0,1
otherdog,1,0,1
redpanda,-1,-1,-1
redfox,-1,0,0
kitsune; squirrel,1,1,-1
otherfox,-1,-1,0
redfox,-2,-1,-2
raccoon,,,-1
snowleopard,-1,0,-2
riverotter,-1,1,0
wolf,0,-1,-1
other,-1,1,-1
wolf,1,0,-1
domesticcat,0,-1,-1
otherdog,0,1,-1
othermustelid,-1,1,2
redfox; kitsune; coyote,1,0,-1
tiger,1,1,-1
rabbit,1,0,-1
wolf,0,0,-1
germanshepherd,-1,-1,1
snowleopard,-2,-2,-1
rabbit,0,1,-2
dragon; other,0,0,-1
collie,0,0,0
coyote,0,0,-1
otherfox,-2,-1,-1
otherfeline; dragon,-2,-2,0
domesticcat,-1,0,0
otherdog,0,0,0
redfox,1,1,-1
other,0,0,0
raccoon,0,-1,-2
horse,0,0,0
redfox,0,1,1
othermustelid,-1,1,0
bat,-2,-1,-1
riverotter; seaotter,-1,-1,-1
wolf,0,0,-1
other,1,-2,-2
leopard,-1,0,-1
hyaena,2,0,-1
coyote; dragon,1,1,1
griffin,-1,1,1
kitsune; other,2,-1,0
lion,,,0
riverotter,-2,-2,-2
otherbird,-1,1,0
horse,1,-1,-2
collie,0,-1,-2
snowleopard; skunk,-2,-1,1
other,0,-1,0
husky,-1,0,1
otherfeline; other,2,1,0
raccoon,1,1,1
fennec,0,1,1
fennec,2,1,0
wolf,1,0,0
panther; domesticcat,-1,1,0
lizard,0,2,2
brownbear,1,0,0
tiger; other,-1,0,1
deer,-2,-2,1
redfox; arcticfox,-1,-2,-1
rabbit,-1,-2,0
dragon,-2,-2,-2
raccoon,0,0,0
wolf,2,1,0
dragon,0,0,-1
wolf; coyote,1,1,-1
otherdog,0,0,-1
cougar; otherfeline,-1,-1,1
otherungulate; other,-1,-1,-1
wolf,-1,0,0
germanshepherd,0,0,0
deer,-2,-1,0
wolf,1,0,0
cheetah,2,1,1
fennec; rabbit,-2,0,1
dragon,0,-1,-1
wolf,-1,-1,-1
bat,-1,0,1
redfox,-2,-1,-1
coyote,-1,1,1
husky; dragon; horse,0,0,2
redpanda,0,0,-1
wolf,-2,0,1
otherdog; rabbit,-2,-2,0
domesticcat,1,-1,-1
arcticfox,2,2,1
lion,-1,0,0
dragon,1,0,-1
arcticfox,-1,0,1
wolf,1,-1,0
mouse,-1,0,0
otherfox,-1,0,1
othermusteloid,2,0,1
husky,-1,0,1
domesticcat,0,0,0
