species,reason
arcticfox,"Not particularly.  It just sort of happened over time, and I settled on arctic fox."
wolf,"I've always loved wolves, everything about them has fascinated me. "
redfox,"The Fox represents to me my playful fun loving nature that is always there to brighten someones day, or be there for someone who needs me."
horse,"Familiarity, experience, and similar behavior traits."
raccoon,They eat garbage.  Nom.
squirrel,Nope.
wolf,I identify with a wolf because I feel it has aspects that I have myself as well as I like wolfs. I feel it kind of represents me because I am very quiet I am very methodical I can get a point across with nothing but my stare. But I have also often been described as having wolf like eyes because of their color and looks. And I also chose it because I like identifying as a wolf I dont know why I just feel happy identifying as a wolf. I mean even now typing about how I identify as a wolf I feel slightly happy as appose to if I was just sitting here doing nothing being indifferent.
redpanda,Yes.  I like them.
wolf,"Armadillo is because that is the animal research. Wolf because I probably feel the greatest overall affinity, but I focus on red wolf because I am not quite as pack oriented as grey wolf but still more than a cat/ Cougar, I do have some affinity for it.

I do like lots of animals and find most have some admiral traits and/or are interesting."
cougar,Cats seemed to be more similar to my own personality.
kitsune,"Yes.  The mythology and symbolism of the kitsune is, er, rather uniquely me.  <.<  >.>"
dragon,Because it's me? This is who I am
domesticcat,"If you die alone in your apartment and no one finds you for a week, your dog will starve. Your cat will not. There's something very unsentimental about them that I've always found appealing."
wolf,"I find them fascinating and admirable and, illogical as it may be, feel an ineffable association with them.
I also find them (and many other animals for that matter) aesthetically beautiful."
raccoon,Am nocturnal.
redfox,I feel that my personality lines up with the way the fox has traditionally been portrayed in human culture.
jackal,"Had vivid dream involving jackal when younger, no particular identity other than that."
horse,Not particularly. It's my primary fursona.
jackal,Not really
lizard,"Alwaysbeen fascinated by reptiles. 
Share a similar demeanor to lizards in some ways. 
I enjoy heat more than cold. "
domesticcat,"I have some connection with them, I feel my personality traits match my choses fursona species (domestic cat)"
cheetah,As a (ex-)motorcyclist the speed resonated with me. Also the beauty of the facial markings.
redfox,Affinity for the animal
badger,I believe that I am a Eurasian Badger.
kitsune,Cuteness
tiger,Sexual attraction to same.
dragon,Not too sure
wolf,It just feels right
otherdog,"(Canine, Dog, Papillon) I just think they're adorable."
wolf,"Pretty much along the lines of 'Wolves are cool', and if the question 'if you had to be an anthropomorphic animal, which would it be?' were posed, that'd be my answer."
dragon,I like dragons. 
kitsune,"Actually, Kitsune Fennec Fox. Fennecs are small and cute, for a while I was very short, and I make noise that some people say sound like a fennec. Generally fond of them."
dinosaur,"Needed a fursona, random choice that seemed a bit individual compared to other people's fursona choices."
wolf,I had an arctic wolf screen name before I found the fandom. I just went with it.
otherfox,"Cunning, intelligence, cuddly, swishable tail"
wolf,"I like dogs

(Pretty simple really :P)"
otherdog,"Birth date's Chinese Year's Animal.
"
griffin,its my primary fursona
otherbird,"Went to a meditation group thing with people, my spirit guide was an animal. When  I joined the fandom a year later, I got asked about my fursona. I said I was an owl because of my previous experience."
raptor,N/A. i just like birds.
domesticcat,Many of the traits of the animal I find in myself. I admite the animal.
riverotter,Close affinity. Possibly spiritual.
germanshepherd,"I associate with the German Shepherds loyalty, strength and intelligence "
dragon,Personally its something I indentified with from a very young age.
wolf,"I am better alone but can be more productive in a group scenario much like a pack, I am also aggressive when needed"
otherfox,"General characteristics, behaviours and traits."
domesticcat,Because cats are the best also I am not even close to feral.
panther,Animal's attributes / archtype
horse,Horses are my passion in life. I have worked with them for over a decade and continue enjoy spending time learning about them and interacting in different disciplines.
redfox,I have always liked red as a colour and I find foxes to be beautiful and have similar personality traits as myself. 
wolf,"In my mind's eye, that's how I truly see myself."
arcticfox,Artistic Purposes.
redfox,I find their characteristics to fit in with my personality very well
redfox,"Ive been around dogs and other canids my whole life, and I love they way they act and look"
arcticfox,"Aesthetics, behavior"
wolf,"Among other reasons, the mexican gray wolf is native to my area, and was also the first wolf I saw; I felt a connection with her when I did."
otherreptile,"My original identification was as a dragon, but it's more complex now. My current primary identification is as a ""draconid,"" an anthro-saurian species with many draconic and saurian characteristics. My secondary identification is as a velociraptor, which I use more widely and publicly. I use ""dragon"" or ""raptor"" as a kind of shorthand identification for people who don't know my full story."
redfox,"I feel a connection to red foxes. I think they look lovely, and sometimes feel as if I have fox ears or a fox tail. I identify strongly with the perception of foxes in culture as clever and tricky, sometimes too much for their own good. There might also be an aspect of rebellion against the Korean culture to which I also belong - foxes occupy a role in Korean mythology similar to that of snakes, black cats, or bats in Western mythology as ""evil"" creatures."
dragon,It is what I am and most desire to be.
snowleopard,"Quiet, shy, enjoy cold."
wolf,"I tend to be mostly leading the people around me, will mostly think of the group before myself and have a tendency to stick with a group of people for a while instead of jumping between groups of friends all the time (pack philosophy)."
riverotter,"Fits my personality. It's become a part of me at this point,"
wolf,I adopt certain trails of the wolf.
redfox,"I did a lot of random research in choosing an animal; I wanted an animal that had behaviors and characteristics that matched my personality/skills/traits/whatnot in some vaguely close form - the one that won out was the red fox.  Due to the Asian/European mix I am in terms of ethnicity, I felt that it would be more... urm... 'realistic' if I were a corsac/red mix."
lion,TLK was the most inspiring to me during pre-puberty and adolescence.
lizard,"i have always loved reptile's. and chose a comodo dragon because i wanted to be somewhat unique.
"
wolf,I guess because with wolves and Huskies I just relate to their closeness and willingness to protect family and friends.
othercanine,I really like the animal. 
wolf,"Loyal, determined and often alone.. with a violent streak. "
collie,Because other people tell me to :/ And I lack self-definition.
otherreptile,"They're animals I either admire/share the generalised anthropomorphised traits with, or just ones that I like."
jackal,Behavioural traits that are somewhat a caricature of my own.
horse,"I identify with dinosaurs the most because I have studied them since I was 4 years old, and they always capture my imagination. I enjoy looking at gray foxes, tigers, and horses, but I don't feel that I identify with these fursonas as strongly as I do with dinosaurs. "
wolf,"Animal characteristics, attributes or generalized personality"
husky,"Cause huskies are cute, cuddly and playful like me :P"
domesticcat,i dunno lol
husky,"Being a dragon husky, a cute personality crisis to follow the habits of a cute husky or a cool dragon xD"
domesticcat,Expression of similar traits to the identified animal.
cheetah,"Physical appearance of the animal attracts me, "
panther,"I admire Panthers for their grace and speed. They are the ultimate forest hunters, the assassins of the night. I adore their ability to blend in with ease.

Dragons are fierce and powerful, with thousands of myths and terror stories about them."
otherdog,"The dog is a symbol of loyalty, before anything else.  It is also highly gregarious and my basic set of desires and the skill sets that represent them are social in nature.  Also, I am sexually active only along the dominant - submissive axis, and dogs represent a type of submission that I am very attracted to enacting.  "
kangaroo,It was my first choice going in. I thought it was unique as well as a representation of how I felt coming into the fandom.
raven,"An animal tends to have particular personality traits that are often associated with it- I felt that based on these perceived personality traits, I closely matched with what I chose. There are multiple animals that fit closely. With these personality traits in mind, some people can have a bias immediately (without even meeting), and this actually helps to filter those who may not prefer a particular personality."
domesticcat,No reason in particular!
otherfeline,"unfortunately, i have multiple characters that i also use as fursonas. my main is a snow leopard/cougar hybrid that just seems more me than the others. its the elusive mystery of those two that makes me feel like it suits"
tiger,"Similar attributes and characteristics with real life persona. Matching Chinese zodiac animal (tiger), commonly worn clothing brand (puma)."
husky,"I like the shape of canids, and enjoy drawing them."
coyote,Nope.
horse,Always had a love of all things Equine!
horse,"Many, because of reasons."
leopard,"It's almost like a spiritual connection or a totem animal.  More like the leopard chose me.  It's nothing I had to decide, just one day I came to realise a leopard is who I am at heart."
redfox,"I find the animal to be one of my favorites, with a mixture of cat and dog qualities. "
lizard,"Came from a dream I had which lead me to discover the furry fandom. My species, character design and name all came directly from the dream."
coyote,Yes
otherdog,"In both cases, the animals with which I identify typify traits to which I aspire.

Dog (other)-- specifically, dingo-- is my ""cub"" side. When I'm in this headspace, I aspire to be playful, affectionate, loyal, trusting-- in general, the positive aspects of ""childlike"".

Zebra is my adult side. The zebra represents decisiveness, strength, and confidence."
wolf,It just feels natural....
domesticcat,"Flighty temper, maybe."
tiger,Turtle Power (Rubber Turtle).  Tiger's are sexy.  ;)
otherfeline,"The species Lynx is also my daemon :see daemonism, philosophy. "
dragon,Dragons and reptiles are cool...
redfox,"I just know, Foxes are Awesome! :P"
hyaena,"Because everyone thinks that my personality fits it, since I tend to laugh a lot."
otherfox,Otherkin nature
cougar,"Not particularly. I chose it for reasons not dependant on what we have in common.
"
dragon,Fascination with myths and their characteristics. Other reasons are childish like it was something that I liked and I stuck with it for a long time. There also isn't any other animal which I identify better with.
otherdog,"Real canines repay all the love and hate they receive in droves, which I admire, and represent the frank, sometimes ill-informed, honesty and loyalty that I exude."
arcticfox,I'm not sure :3
husky,That i am I peacekeeper and really fun to hang with and just be yourself
rabbit,Nothing in particular
otherfeline,because i'm a cat person
rabbit,"My personality changes a lot.
I've chosen a hybrid for being angry/hyper, calm/happy, sad/relaxed"
wolf,I just feel like it's a part of who I am.
domesticcat,"Cats are simply the bestest ;-) Seriously, it's just.... it feels right :-)"
wolf,It is the most attractive as to my perspective.
othermustelid,"I identify with the ferret, mainly due to what it has stood for (wit, cunning, agility). Another factor was it's appearance and physical attributes, as well as location of where it naturally occurs and where I was born in real life."
dragon,Dragons are epic.
horse,Canines cause you know loyalty 
kangaroo,Cause they are cool and awesome
grizzlybear,I love these animals and they represent my attitude a lot.
husky,"I love being active physically and mentally and huskies have a way of showing both traits that best suit my character. I love learning new things and applying those learnt ideas to what I do in the real world.
"
otherdog,"Spiritual connection, part of me."
redfox,There are only a few reasons why I chose a female corsac fox as my fursona in the first place. One of them is because I'm usually mistaken as a girl in real life due to my face and body structure. 
dragon,I like dragons after I started liking Toothless from How To Train Your Dragon.
domesticcat,I admire cat capabilities.
redfox,"Foxes are clever, and dignified."
rabbit,"Mostly it just seems to be the default my mind ever pops to when I try to think of characters or etc., though sometimes it also goes with various, unspecific canines.
Fursonas, with me, are still a developing thing. Very liable to change and all."
domesticcat,"Mainly with Canine, Dog/other, I have identified desirable characteristics from it and adapted them to my own regular personality. These are loyalty, energy, empathy, curiosity and being carefree.

The minority with the others are desirable and undesirable parts of my personality not captured by the main. "
wolf,"General strong gravitation to large canines, and envy of them."
husky,Yes; personality.
domesticcat,Lazy bum and simplistic
redfox,I think personally I prefer these as some would be personality wise but seeing these in comics and a personality makes you think they would be pretty fun to be them
wolf,I was interested in werewolves and found out about furries while browsing werewolf communities.
wolf,"Wolves are sociable animal, yet content with nature. I feel closest to the wolves."
otherfeline,"Enfield (primary): I enjoy how it blends different animals together discordantly and is still a powerful and respected entity (among those aware of it). (In case you haven't googled it yet, it's got the head of a fox, body of a greyhound, hind legs of a lion, forelegs of an eagle, and the tail of a wolf. It is associated with the sea and honor in Irish folklore and heraldry.)"
skunk,Yes
deer,Antlers are fucking cool
dragon,Personal preference.
grizzlybear,I love how big the bear is. and i love chubby things too.
redfox,"No particular reason. I just saw a picture of a anthro red fox one day and said to myself ""it would be awesome to have a red fox as a fursona"" and bam, it fit me like a glove. Never considered changing fursona after that."
dragon,"I used to feel that I am a dragon in spirit (otherkin).  These feelings are less strong now, but I still have a great love and respect for dragons."
otherdog,"I identify myself in a Wolf/Dog because I feel my self confuse in what am I, as the Wolf/Dog that is split in two sides."
dragon,"Nothing obvious, I guess I just have always liked dragons??"
raccoon,I love feeling sneaky and raccoons have a natural mask! :3  Plus the ringed tail is supercute.
redfox,"no particular reason i just love canines
"
wolf,Probably
bat,Because they're awesome
jackal,There just some of my favorite animals.
redfox,"Foxes have been my favorite animal for as long as I can remember. They're completely adorable. Also, I'm kind of a slut."
dragon,My first online character was on a MUD and I chose a 'halfdragon' character because I had been attracted to reptilian creatures previously. I adopted this character on my first Furry MUCK and found it useful as a fantasy 'starting point' without any hard limits or definitions. Since then I have adopted rottweiler and orca forms because their aesthetics pleased me.
otherfeline,"Well, cats and dragons are great, so... catdragons are even better!
"
wolf,Wolves are beautiful animal built for strength and speed
wolf,Favourite animals actually. And people say personality of a wolf suits me a lot
coyote,"Coyote is a trickster, iconoclastic, adaptable. Can be seen as absurd or cunning, often switching between from moment to moment. Basically a label that says 'don't label me'."
wolf,The wolf totem represents who I am and what I want to become
riverotter,"At the time I picked it, swimming was one of my favourite things. Since then, it just kind of stuck."
dragon,"Yes, there are certain traits in those animals that I exhibit. "
cheetah,"A cheetah is lean and lithe like me, and my first avatar colors on Furcadia were (just by chance) red/black/yellow, specifically with yellow fur and black markings, so I just ran with that when I was a kid. I've always loved the concept of flight and feathers and so she has wings (hence bird of prey), and some Bengal tiger stripes because she's a mutt and oddly marked like I am in real life."
otherfeline,"I share some of the real and imagined characteristics of the feline/other (meerkat): family oriented, tall and lanky, and skittish. "
arcticfox,"I feel connected to the Arctic Fox, I feel as if it fits my personality."
wolf,"I Had a dream a few nights about being a red wolf and talking to one. My cousin told me It was my ""spirit animal/guide"" because we are native American and what I had was a vision. "
coyote,"Yew

... I suppose this wants me to describe it, too. :)  Personality traits are definitely a part of it, both ones I have and ones I want to develop, but a lot of it comes down to just an internal pull in a certain direction, and with boh species components, it was more a matter of first saying ""I feel like X"" and then later working out the personalty and aspiration reasons for that."
otherfox,"I have a fox/wolf fursona, I however don't know why identify with these animals."
otherfeline,"I believe I posses a number of catlike characteristics , such as a finicky nature, and an attitude which alternates between the quiet, calculating stoicism of a hunter, and the laid-back, silly nature of a cat at play.

The relative obscurity and lanky physiology attracted me to servals specifically, which both somewhat reminded me of myself. Although I am not currently socially active in the furry community, I have chosen a serval to serve as my personal de-facto fursona at the present time."
horse,I just feel like a horse and relate to them
collie,"I'm the complete opposite of my fursona in real life. Lazy, inactive, disloyal. It's fantastic."
domesticcat,I really don't know why honestly. The cat just seems to fit me well.
bat,Favorites.
