Species,Reason,Character status
other,I study armadillos,Primary character
wolf,"When trying to imagine myself as an animal I felt most akin to wolves but am more solitary than grey wolves. Wolf tail just did not fit; whenever I thought of having a tail it was always longer, more prehensile",Secondary Character
domesticcat,Always had a connection to cats.,Primary character
otherbird,"Toucan is generally my most common ""alt"" form. I dunno why I like them, either. Probably still the goofiness.",Secondary Character
"raccoon, kangaroo","My best friend at the time was Australian and I think that played a big part. I dunno, they're just kinda goofy and I like 'em.",Primary character
snowleopard,They have both traits that I identify with and that I aspire to.,Primary character
"wolf, domesticcat",I feel a connection to the wolf spirit-wise and I have some feline characteristics,Primary character
arcticfox,Another facet of my personality. I felt this character fit me when I'm in a hyperactive state,Secondary Character
wolf,"My angry, fighting character.",Deprecated character
otherbird,Childhood cartoons,Primary character
wolf,Feel a connection to the pack life,Primary character
weasel,"Spiritual identity, strong connection to the attributes and cultural archetype of the species. ",Primary character
weasel,"Short bouts of energy and then lethargy. Also, subversion of this species' moral implications in lit. ",Primary character
horse,It just works for me,Primary character
"lizard, other","A color changing amphibian is pretty unique, and his body type reflects what I'd like to be.",Primary character
otherfeline,"The Iberian Lynx is one of the most endangered cat species, and I wanted to promote awareness for them. ",Primary character
other,Identify with behaviour of the animal in everyday life.,Primary character
otherdog,Alternative aspects of personality.,Secondary Character
,Alternative aspects of my personality.,Secondary Character
domesticcat,It was the first thing that came to mind and seemed fitting considering the history of pets in my family. I guess there is something in the nature and behavior of cats that I like too.,Primary character
horse,the associated archetypes for this species best matches my human personality,Primary character
germanshepherd,"Of all the breeds, GSDs exemplify all of the positive characteristics of dog. ",Primary character
other,"More comedy than anything. I have poor vision, am short and fat, have a poor diet, and like to be in the dark. Also no one is a mole. ",Primary character
domesticcat,"Feminine, seductive, independent, will go where it wants. ",Primary character
fennec,It fits me in appearance and demeanor.,Primary character
otherfox,"Honestly not sure, but I've grown attached to it so i just stick with it :3",Primary character
"coyote, riverotter, other","They both fit dimensions of my personality, and I find them to be a fair representation of who I am that I can use in this fandom. Coyote represents the teacher who tricks you into learning when you least expect it, and otter teaches you how to have fun with whatever situation in life that you have. These aspects cover how I interact with others and how I live my own life.",Primary character
wolf,Wolves look cool,Primary character
redfox,they're cute,Primary character
"cougar, rabbit","Lost a bet, was a cougar, then after losing had to become a rabbit. Decided after awhile to merge the two",Primary character
"othermarsupial, other","When I created the character, I admired and even related myself to the species, socially and perhaps psychologically and felt it was a fitting representation of myself. Beyond that, I picked it mostly because I thought they were pretty nifty and, at the time, a pretty unique species.",Primary character
weasel,"Always been a fan of mustelids, and felt it was a perfect fun and bouncy species to fill a fun and bouncy role (with as little innuendo as can be taken away from that)",Secondary Character
wolf,"Because everyone is a wolf so it shows how uncreative I am and how little I care about ""Original Fursonas"" ",Primary character
coyote,I live in Coyote Hills. I have a spiritual connection with this species. ,Primary character
husky,Fits my personality,Primary character
wolf,I strongly identify with this animal.,Primary character
dragon,Having scales and be able to fly and look majestic,Secondary Character
squirrel,Because it's me. And the only character I have or will likely have.,Primary character
husky,"Personality match, I admire canine traits.",Primary character
"wolf, other","I like the wolves, and also i like the northern lands. ",Primary character
dragon,Because I feel most connected towards that kind of species but also having a boyfriend who's also a furry Dragon the it influenced me to become that species.,Primary character
jackal,Jackals have the best ears!,Primary character
collie,"The particular breed embodies intelligence, enthusiasm, energy and agility",Primary character
othercanine,This feels like me,Primary character
redfox,My first character,Secondary Character
other,A character I created since I worked with them professionally,Secondary Character
domesticcat,I like cats,Primary character
"jackal, other",I could identify with that species the most ,Primary character
lizard,"Could not identify with cuddle, furred sort. Chose reptile.",Primary character
raven,'Cause Birds are awesome yo.,Primary character
otherreptile,I think they're cool,Primary character
horse,Admiration of the species and time spent caring for horses prompted emulation of character traits.,Primary character
other,A friend drew it for me and it appealed to my character and personality.,Primary character
wolf,Because reasons!,Primary character
otherdog,Love dogs,Primary character
otherdog,this is my species identity ,Primary character
wolf,I don't know! :D,Primary character
horse,I liked horses before they were cool and candy coloured.,Primary character
redfox,I felt more closely related to foxes than to any other animal I tried.,Primary character
otherdog,Matches my personality and I've always like 'em!,Primary character
redfox,"A variety of reasons, mainly a fascination of red foxes that has built into a caricature that I use to represent myself within the furry fandom.",Primary character
otherfox,I simply enjoy their aesthetic and I can relate to them.,Primary character
