  id   | empty_count | full_count | sum 
-------+-------------+------------+-----
  4924 |          21 |          3 |  24
   545 |          21 |          3 |  24
  7852 |          20 |          4 |  24
  2606 |          19 |          6 |  25
  8996 |          18 |          7 |  25
   297 |          18 |          7 |  25
  9577 |          19 |          6 |  25
   732 |          21 |          5 |  26
  9645 |          19 |          7 |  26
  6630 |          17 |         10 |  27
  8227 |          17 |         10 |  27
  7398 |          17 |         10 |  27
  9429 |          17 |         10 |  27
  6177 |          17 |         10 |  27
   725 |          17 |         10 |  27
  5865 |          21 |          6 |  27
   991 |          17 |         10 |  27
  5144 |          18 |          9 |  27
  9795 |          17 |         10 |  27
  6022 |          17 |         10 |  27
  1164 |          17 |         11 |  28
  3060 |          17 |         11 |  28
   595 |          17 |         11 |  28
  5815 |          17 |         11 |  28
  8427 |          17 |         11 |  28
 10129 |          18 |         10 |  28
  8039 |          17 |         11 |  28
 11212 |          20 |          8 |  28
  6620 |          17 |         11 |  28
  2843 |          18 |         10 |  28
  4033 |          17 |         11 |  28
  3011 |          17 |         11 |  28
  2106 |          17 |         11 |  28
  3318 |          17 |         11 |  28
   281 |          17 |         12 |  29
  4914 |          17 |         12 |  29
 10031 |          16 |         13 |  29
  3815 |          18 |         11 |  29
  9600 |          17 |         12 |  29
 10665 |          17 |         12 |  29
 10254 |          17 |         12 |  29
 10285 |          17 |         12 |  29
   826 |          16 |         14 |  30
  2407 |          18 |         12 |  30
  6098 |          17 |         13 |  30
  3196 |          16 |         14 |  30
 10628 |          16 |         15 |  31
  6950 |          15 |         16 |  31
  2435 |          17 |         14 |  31
 11679 |          16 |         15 |  31
  4850 |          20 |         11 |  31
  2547 |          17 |         14 |  31
 10698 |          17 |         14 |  31
  5169 |          21 |         10 |  31
   544 |          17 |         14 |  31
 10291 |          17 |         14 |  31
  4142 |          17 |         14 |  31
  3414 |          17 |         14 |  31
  6152 |          18 |         13 |  31
  3797 |          18 |         14 |  32
  3527 |          18 |         14 |  32
  3724 |          17 |         15 |  32
  3184 |          15 |         17 |  32
    87 |          17 |         15 |  32
 10453 |          17 |         15 |  32
  8217 |          17 |         15 |  32
  9118 |          18 |         14 |  32
 10057 |          17 |         15 |  32
  2095 |          17 |         15 |  32
  9352 |          17 |         15 |  32
  1697 |          16 |         17 |  33
   801 |          17 |         16 |  33
  6709 |          16 |         17 |  33
  8700 |          18 |         15 |  33
  3535 |          17 |         16 |  33
 11340 |          18 |         15 |  33
  7290 |          17 |         16 |  33
  8329 |          17 |         16 |  33
   674 |          18 |         15 |  33
  6885 |          16 |         17 |  33
  4226 |          19 |         14 |  33
 11718 |          16 |         18 |  34
 10752 |          16 |         18 |  34
  6406 |          14 |         20 |  34
  8218 |          16 |         18 |  34
  6179 |          14 |         20 |  34
  4395 |          15 |         19 |  34
  7248 |          16 |         18 |  34
  3913 |          17 |         17 |  34
  3563 |          17 |         17 |  34
  8128 |          17 |         17 |  34
  7845 |          14 |         20 |  34
 10751 |          17 |         17 |  34
  3697 |          15 |         19 |  34
  7863 |          18 |         16 |  34
  2560 |          17 |         17 |  34
 10701 |          16 |         18 |  34
   182 |          14 |         20 |  34
  2610 |          16 |         18 |  34
  1163 |          14 |         20 |  34
 11456 |          14 |         20 |  34
  4595 |          16 |         18 |  34
   979 |          15 |         20 |  35
  5692 |          18 |         17 |  35
  4223 |          17 |         18 |  35
  7550 |          15 |         20 |  35
  5043 |          15 |         20 |  35
  4201 |          16 |         19 |  35
  1550 |          19 |         16 |  35
